"studentId";"courseId";"progress";"startDate";"id"
1;51;58;"2017-01-25";1
1;30;66;"2016-01-25";2
1;52;85;"2017-08-25";3
1;61;54;"2017-01-25";4
2;41;64;"2017-01-25";5
144;29;43;"2014-01-25";6
2;44;40;"2016-01-25";7
2;63;66;"2015-01-25";8
144;64;71;"2016-01-25";9
2;53;58;"2015-08-25";10
3;57;53;"2017-08-25";11
3;42;82;"2015-08-25";12
3;46;36;"2016-08-25";13
4;72;81;"2015-01-25";14
4;74;50;"2017-08-25";15
4;18;82;"2017-08-25";16
4;58;43;"2017-01-25";17
5;44;52;"2016-01-25";18
5;4;49;"2015-01-25";19
5;45;84;"2017-01-25";20
5;51;89;"2016-08-25";21
6;57;88;"2017-01-25";22
145;71;70;"2015-01-25";23
145;69;81;"2017-01-25";24
145;48;64;"2017-01-25";25
145;65;66;"2016-01-25";26
146;41;64;"2014-01-25";27
146;36;69;"2016-01-25";28
6;9;40;"2016-01-25";29
6;22;87;"2014-01-25";30
146;70;43;"2016-08-25";31
146;44;65;"2014-08-25";32
147;44;68;"2017-08-25";33
147;45;41;"2015-01-25";34
147;16;84;"2017-01-25";35
147;59;52;"2015-01-25";36
147;73;67;"2016-01-25";37
148;7;55;"2016-01-25";38
148;35;81;"2014-01-25";39
148;68;42;"2015-08-25";40
6;62;65;"2016-01-25";41
7;74;40;"2014-01-25";42
7;64;67;"2015-08-25";43
148;51;70;"2014-08-25";44
7;42;68;"2014-08-25";45
148;69;45;"2017-08-25";46
7;65;68;"2016-08-25";47
7;18;66;"2017-08-25";48
8;60;70;"2017-01-25";49
8;72;83;"2015-01-25";50
8;9;72;"2017-01-25";51
8;29;84;"2014-01-25";52
9;65;40;"2015-08-25";53
9;68;55;"2015-01-25";54
9;33;86;"2017-01-25";55
9;46;51;"2017-01-25";56
10;42;88;"2017-08-25";57
10;23;49;"2015-08-25";58
10;74;65;"2017-08-25";59
10;67;55;"2016-01-25";60
11;61;68;"2015-01-25";61
11;58;49;"2017-01-25";62
11;24;37;"2017-01-25";63
11;38;40;"2016-01-25";64
149;10;54;"2017-08-25";65
12;23;81;"2017-08-25";66
149;16;73;"2016-08-25";67
12;26;38;"2014-01-25";68
149;7;44;"2016-01-25";69
12;29;89;"2015-01-25";70
